Default Order,OfficerName,AbilityType,OfficerSynergy,AbilityModifier,AbilityConditions,AbilityTrigger,AbilityTarget,AbilityOperation,AbilityAttributes,AbilityDescription,AbilityDescriptionShort,AbilityChances,AbilityValues,AbilityHasChance,AbilityShowPercentage,Tag_PvPinSpace,Tag_PvPinSpace_Reason,Tag_PvPStation,Tag_PvPStation_Reason,Tag_NonArmadaHostiles,Tag_NonArmadaHostiles_Reason,Tag_WaveDefense,Tag_WaveDefense_Reason,Tag_MissionBosses,Tag_MissionBosses_Reason,Tag_QTrial,Tag_QTrial_Reason,Tag_SoloArmadas,Tag_SoloArmadas_Reason,Tag_GroupArmadas,Tag_GroupArmadas_Reason,Tag_Assaults,Tag_Assaults_Reason,Tag_InvadingEntities,Tag_InvadingEntities_Reason,Tag_OutpostArmadas,Tag_OutpostArmadas_Reason,Tag_OutpostRetaliators,Tag_OutpostRetaliators_Reason,Tag_Loot,Tag_Loot_Reason,Tag_Utility,Tag_Utility_Reason,AbilityID,OfficerId,OfficerArt,OfficerRarity,Requires_StateSelf,Requires_StateTarget,Conditional_Reason,AbilityChance_1,AbilityChance_2,AbilityChance_3,AbilityChance_4,AbilityChance_5,AbilityValue_1,AbilityValue_2,AbilityValue_3,AbilityValue_4,AbilityValue_5,Column 1,Column 2
112,SEVERUS,OA,ROMULAN PATRIOTS,AllDamage,SelfHasBurning,RoundStart,SelfShip,MultiplyAdd,num_rounds=1,"When the ship is Burning from the opponent, Severus increases the Damage of the ship by X.",+X to Damage if the player's ship is Burning,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.3, 0.4, 0.5, 0.6",FALSE,TRUE,✴️,SelfHasBurning,✴️,SelfHasBurning,✴️,SelfHasBurning,✴️,SelfHasBurning,✴️,SelfHasBurning,✴️,SelfHasBurning,✴️,SelfHasBurning,✴️,SelfHasBurning,✴️,SelfHasBurning,✴️,SelfHasBurning,✴️,SelfHasBurning,✴️,SelfHasBurning,➖,AllDamage,➖,AllDamage,3765448209,161972881,35,Uncommon,Burning,,SelfHasBurning,1,1,1,1,1,0.2,0.3,0.4,0.5,0.6,,
113,MARCUS,CM,SECTION 31,AddState,HullHealthBelow,RoundStart,SelfShip,Set,"num_rounds=3, percentage=0.8, state=8","At the start of each round, if the opponent's Hull Health is under 80% of its starting total, Alexander Marcus has X chance of inspiring Morale to the ship for 3 rounds.",X chance to inspire Morale for 3 rounds when the opponent's Hull Health is under 80%.,"0.8, 0.05, 0.1","1.0, 1.0, 1.0",TRUE,TRUE,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,➖,AddState,➖,AddState,2221311201,1127234629,43,Epic,,,HullHealthBelow,0.8,0.05,0.1,,,1,1,1,,,,
114,MARCUS,OA,SECTION 31,ShieldPiercing,,CombatStart,SelfShip,MultiplyBaseAdd,officer_stat=2,"At the start of battle, Alexander Marcus increases the Shield Piercing of the ship by X of the Defense of the crew on the ship.",X of the crew's Defense bonus to Shield Piercing,"1.0, 1.0, 1.0, 1.0, 1.0","1.0, 2.0, 4.0, 8.0, 16.0",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,ShieldPiercing,➖,ShieldPiercing,1877391678,1127234629,43,Epic,,,,1,1,1,1,1,1,2,4,8,16,,
115,YUKI,CM,SECTION 31,ShieldHPRepair,"TargetNotArmada, TargetNotASB",RoundStart,EnemyShip,MultiplySub,,Yuki Sulu decreases the Shield Health of the opponent's ship by X each round.,-X to the Shield Health of the opponent's ship each round,"1.0, 1.0, 1.0","0.1, 0.02, 0.05",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,➖,TargetNotArmada,➖,TargetNotArmada,➖,TargetNotASB,➖,TargetNotArmada,✅,,✅,,➖,ShieldHPRepair,➖,ShieldHPRepair,1427535254,3381802332,37,Rare,,,,1,1,1,,,0.1,0.02,0.05,,,,
116,YUKI,OA,SECTION 31,AllDamage,EnemyHullFaction,CombatStart,SelfShip,MultiplyBaseAdd,"faction_id=669838839, officer_stat=3",Yuki Sulu increases the Weapon Damage against Romulan ships by X of the Health of the crew on the ship.,X of the crew's Health bonus to Damage against Romulans,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.35, 0.75, 1.75, 5.0",FALSE,TRUE,✴️,Romulan,✴️,Romulan,✴️,Romulan,✴️,Romulan,✴️,Romulan,✴️,Romulan,✴️,Romulan,✴️,Romulan,✴️,Romulan,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,EnemyHullFaction,➖,AllDamage,➖,AllDamage,264056742,3381802332,37,Rare,,,Romulan,1,1,1,1,1,0.25,0.35,0.75,1.75,5,,
117,HARRISON,CM,SECTION 31,AllDamage,"TargetMaxLevel, EnemyExplorer",CombatStart,SelfShip,MultiplyAdd,max_level=70,"When fighting Explorers, John Harrison increases the Weapon damage of the ship by X. Works against Hostiles of level 70 and under.",+X to Damage against Explorers,"1.0, 1.0, 1.0","0.2, 0.1, 0.2",FALSE,TRUE,✴️,"TargetMaxLevel, EnemyExplorer",✴️,"TargetMaxLevel, EnemyExplorer",✴️,"TargetMaxLevel, EnemyExplorer",✴️,"TargetMaxLevel, EnemyExplorer",✴️,"TargetMaxLevel, EnemyExplorer",✴️,"TargetMaxLevel, EnemyExplorer",✴️,"TargetMaxLevel, EnemyExplorer",✴️,"TargetMaxLevel, EnemyExplorer",✴️,"TargetMaxLevel, EnemyExplorer",✴️,"TargetMaxLevel, EnemyExplorer",✴️,"TargetMaxLevel, EnemyExplorer",✴️,"TargetMaxLevel, EnemyExplorer",➖,AllDamage,➖,AllDamage,2099626491,3553398304,38,Rare,,,"TargetMaxLevel, EnemyExplorer",1,1,1,,,0.2,0.1,0.2,,,,
118,HARRISON,OA,SECTION 31,ShieldMitigation,"TargetMaxLevel, TargetNotArmada, TargetNotASB",CombatStart,EnemyShip,MultiplySub,"max_level=70, num_rounds=1","For the first round of combat, John Harrison ignores X of the opponent's shield. Works against Hostiles and Players of level 70 and under.",X of the opponent's Shield ignored for the first round of combat.,"1.0, 1.0, 1.0, 1.0, 1.0","0.6, 0.7, 0.8, 0.9, 1.0",FALSE,TRUE,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,➖,TargetNotArmada,➖,TargetNotArmada,➖,TargetNotASB,➖,TargetNotArmada,✴️,target level 70 or under,✴️,target level 70 or under,➖,ShieldMitigation,➖,ShieldMitigation,3875841674,3553398304,38,Rare,,,target level 70 or under,1,1,1,1,1,0.6,0.7,0.8,0.9,1,,
119,DUPONT,CM,SURVEYORS & MINERS,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[680796905, 1779416627, 84292608]","Raphaël DuPont increases the rate of G3 Crystal, Gas and Ore Mining by X.","+X to G3 Crystal, Gas and Ore Mining Speed","1.0, 1.0, 1.0","0.35, 0.1, 0.2",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,4020180140,2446409392,39,Rare,,,,1,1,1,,,0.35,0.1,0.2,,,,
120,DUPONT,OA,SURVEYORS & MINERS,CargoProtection,,ShipLaunched,SelfShip,MultiplyAdd,,Raphaël DuPont increases the Protected Cargo by X.,+X to this ship's Protected Cargo,"1.0, 1.0, 1.0, 1.0, 1.0","0.5, 1.0, 1.5, 2.0, 3.0",FALSE,TRUE,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,✅,,3267066178,2446409392,39,Rare,,,,1,1,1,1,1,0.5,1,1.5,2,3,,
121,ZHOU,CM,SECTION 31,OfficerStatDefense,,ShipLaunched,SelfBridge,MultiplyAdd,,Paul Zhou increases the Defense of all Officers on the bridge of the ship by X,+X to Officer Defense on the bridge of the ship,"1.0, 1.0, 1.0","0.15, 0.06, 0.1",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatDefense,➖,OfficerStatDefense,1892484976,1143746577,40,Uncommon,,,,1,1,1,,,0.15,0.06,0.1,,,,
122,ZHOU,OA,SECTION 31,AllDefenses,SelfHasMorale,RoundStart,SelfShip,MultiplyBaseAdd,"num_rounds=1, officer_stat=2","As long as the ship has Morale, Paul Zhou increases the Shield deflection, Armor and Dodge of the ship by X of the crew's Defense.","X of the crew's Defense bonus to Dodge, Armor and Shield Deflection while having Morale","1.0, 1.0, 1.0, 1.0, 1.0","0.3, 0.4, 0.8, 1.6, 3.0",FALSE,TRUE,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,✴️,SelfHasMorale,➖,AllDefenses,➖,AllDefenses,4081666796,1143746577,40,Uncommon,Morale,,SelfHasMorale,1,1,1,1,1,0.3,0.4,0.8,1.6,3,,
123,MÄKINEN,CM,SURVEYORS & MINERS,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[2325683920, 743985951, 2614028847, 1908242242, 96209859, 1371898528, 84292608, 1779416627, 680796905, 802509572, 2964093937, 3735331456, 2905009151, 1349464922, 3598797204, 1600760006, 2166628666, 1957060718, 1692987719, 2424553373, 2991010408, 2705205969, 563579678, 2164745208, 4275314946, 1734940706, 733419347, 3842158911, 2002611017, 3739531165, 999782265, 580616659, 3043859351, 3662113780, 2392079650, 3111281042, 2160856496, 3821364733, 1768524995, 1495067766, 2431214132, 3342042571, 819663825, 1586478890, 296474010, 2285412015, 2440004407, 1574840331, 298768773, 141958867]",Elea Mäkinen increases the Mining Speed of the ship by X.,+X to base Mining Speed,"1.0, 1.0, 1.0","0.1, 0.1, 0.2",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,3618813132,3155462804,42,Uncommon,,,,1,1,1,,,0.1,0.1,0.2,,,,
124,MÄKINEN,OA,SURVEYORS & MINERS,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[2991010408, 2705205969, 563579678]",Elea Mäkinen increases the rate of Isogen Mining by X.,+X to Isogen Mining Speed,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.4, 0.6, 0.8, 1.0",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,2208202896,3155462804,42,Uncommon,,,,1,1,1,1,1,0.2,0.4,0.6,0.8,1,,
125,PIKE,CM,SHAKEDOWN CRUISE,OffAbilityEffect,TargetMaxLevel,CombatStart,SelfBridge,MultiplyAdd,max_level=70,Christopher Pike increases the effectiveness of all Officer Abilities that trigger in combat by X. Works against Hostiles of level 70 and under.,X increased effectiveness to Officer Abilities that activate in combat,"1.0, 1.0, 1.0","0.4, 0.4, 0.8",FALSE,TRUE,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,➖,OffAbilityEffect,➖,OffAbilityEffect,156238802,329940464,90,Epic,,,target level 70 or under,1,1,1,,,0.4,0.4,0.8,,,,
126,PIKE,OA,SHAKEDOWN CRUISE,CombatXPReward,,ShipLaunched,SelfShip,MultiplyAdd,,Christopher Pike increases the Ship XP earned by combat by X. Works against Hostiles of level 70 and under.,+X to Ship XP earned with this ship,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.3, 0.4, 0.5, 0.6",FALSE,TRUE,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,✅,,2383265567,329940464,90,Epic,,,,1,1,1,1,1,0.2,0.3,0.4,0.5,0.6,,
127,MOREAU,CM,SHAKEDOWN CRUISE,ShieldHPRepair,,BattleWon,SelfShip,MultiplyAdd,,"After winning a battle, Moreau heals the Shield Health by X.",X Shield Health healed after winning,"1.0, 1.0, 1.0","0.4, 0.1, 0.2",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,ShieldHPRepair,➖,ShieldHPRepair,10760547,3990993357,44,Rare,,,,1,1,1,,,0.4,0.1,0.2,,,,
128,MOREAU,OA,SHAKEDOWN CRUISE,AllPiercing,"TargetMaxLevel, EnemyHostile, TargetNotArmada",CombatStart,EnemyShip,MultiplySub,max_level=70,"Moreau decreases the Armor Piercing, Shield Piercing and Accuracy of Hostiles by X. Works against Hostiles of level 70 and under.",-X to Hostiles Penetration.,"1.0, 1.0, 1.0, 1.0, 1.0","0.3, 0.4, 0.5, 0.6, 0.7",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✴️,target level 70 or under,✴️,target level 70 or under,➖,EnemyHostile,✴️,target level 70 or under,➖,TargetNotArmada,➖,TargetNotArmada,➖,EnemyHostile,➖,TargetNotArmada,➖,EnemyHostile,➖,EnemyHostile,➖,AllPiercing,➖,AllPiercing,1471408949,3990993357,44,Rare,,,target level 70 or under,1,1,1,1,1,0.3,0.4,0.5,0.6,0.7,,
129,HENDORFF,CM,SHAKEDOWN CRUISE,AllDefenses,HullHealthBelowStartOfCombat,RoundStart,SelfShip,MultiplyAdd,"num_rounds=1, percentage=0.5","As long as Hull Health is below 60% of its value at the start of combat, Hendorff increases Dodge, Armor and Shield Deflection by X.","+X to Dodge, Armor and Shield Deflection when Hull Health is below 60% of its Hull health at the start of the battle.","1.0, 1.0, 1.0","0.2, 0.1, 0.2",FALSE,TRUE,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,➖,AllDefenses,➖,AllDefenses,1815450665,3628828668,45,Uncommon,,,HullHealthBelowStartOfCombat,1,1,1,,,0.2,0.1,0.2,,,,
130,HENDORFF,OA,SHAKEDOWN CRUISE,CombatXPReward,SelfExplorer,ShipLaunched,SelfShip,MultiplyAdd,,Hendorff increases the Ship Experience gained on Explorers by X,+X to Ship XP on Explorers,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.3, 0.4, 0.5, 0.6",FALSE,TRUE,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,✅,,4056050786,3628828668,45,Uncommon,,,,1,1,1,1,1,0.2,0.3,0.4,0.5,0.6,,
131,HADLEY,CM,SHAKEDOWN CRUISE,WarpSpeed,,ShipLaunched,SelfShip,MultiplyAdd,,Hadley increases the Warp Speed of the ship by X.,+X Officer XP gained from combat,"1.0, 1.0, 1.0","0.15, 0.1, 0.15",FALSE,TRUE,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,✅,,511272321,3314108979,48,Common,,,,1,1,1,,,0.15,0.1,0.15,,,,
132,HADLEY,OA,SHAKEDOWN CRUISE,CombatXPReward,SelfSurveyor,ShipLaunched,SelfShip,MultiplyAdd,,Hadley increases Ship Experience gained on Survey ships by X.,+X to Experience gained on Survey ships,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.3, 0.4, 0.5, 0.6",FALSE,TRUE,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,✅,,2331408146,3314108979,48,Common,,,,1,1,1,1,1,0.2,0.3,0.4,0.5,0.6,,
133,CAROL,CM,AUXILIARY CONTROLS,AllDamage,"EnemyPlayer, SelfDefending",CombatStart,EnemyShip,MultiplySub,,"When defending in battle against a player, Carol decreases the Weapon Damage from opponents by X.",-X To Opponent Damage when defending in battle,"1.0, 1.0, 1.0","0.4, 0.05, 0.1",FALSE,TRUE,✅,,✅,,➖,"EnemyPlayer, SelfDefending",➖,"EnemyPlayer, SelfDefending",➖,"EnemyPlayer, SelfDefending",➖,"EnemyPlayer, SelfDefending",➖,"EnemyPlayer, SelfDefending",➖,"EnemyPlayer, SelfDefending",➖,"EnemyPlayer, SelfDefending",➖,"EnemyPlayer, SelfDefending",➖,"EnemyPlayer, SelfDefending",➖,"EnemyPlayer, SelfDefending",➖,AllDamage,➖,AllDamage,2068090718,3722250154,92,Epic,,,,1,1,1,,,0.4,0.05,0.1,,,,
134,CAROL,OA,AUXILIARY CONTROLS,AllDamage,,ShipLaunched,SelfShip,MultiplyAdd,,Carol increases the Weapon Damage by X.,+X to Weapon Damage,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.25, 0.3, 0.35, 0.4",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllDamage,➖,AllDamage,2541302043,3722250154,92,Epic,,,,1,1,1,1,1,0.2,0.25,0.3,0.35,0.4,,
135,ZAHRA,CM,AUXILIARY CONTROLS,HullHPMax,SelfAtStation,ShipLaunched,SelfShip,MultiplyAdd,,"When defending the Station, Zahra increases the ship's Hull Health by X.",+X to ship Hull Health when defending the Station,"1.0, 1.0, 1.0","0.1, 0.05, 0.1",FALSE,TRUE,➖,SelfAtStation,✅,,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,HullHPMax,➖,HullHPMax,4231113561,407568868,59,Common,,,,1,1,1,,,0.1,0.05,0.1,,,,
136,ZAHRA,OA,AUXILIARY CONTROLS,AllDamage,SelfAtStation,ShipLaunched,SelfShip,MultiplyAdd,,"When defending the Station, Zahra increases the Weapon Damage by X.",+X to Damage dealt when defending the Station,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.08, 0.1, 0.15, 0.2",FALSE,TRUE,➖,SelfAtStation,✅,,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,AllDamage,➖,AllDamage,243472742,407568868,59,Common,,,,1,1,1,1,1,0.05,0.08,0.1,0.15,0.2,,
137,KHAN,CM,KHAN'S CREW,AllDefenses,"TargetNotASB, EnemySentinel",CombatStart,EnemyAllShips,MultiplySub,num_rounds=2,"When attacking a Station, Khan has X chances of drastically reducing the mitigation of all opponent's ships and defense platforms for two rounds.",X chances to drastically reduce the opponent's station and ships Mitigation for 2 rounds,"0.5, 0.1, 0.25","10.0, 0.0, 0.0",TRUE,TRUE,➖,EnemySentinel,✅,,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,TargetNotASB,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,AllDefenses,➖,AllDefenses,1479384085,2822661458,60,Epic,,,,0.5,0.1,0.25,,,10,0,0,,,,
138,KHAN,OA,KHAN'S CREW,CritChance,,HullDamageTaken,SelfShip,Add,,"Every time the Ship is hit by a Ship or Defense Platform weapon attack, Khan increases the Critical Hit Chances by X (cumulative). -- (Weapons with multiple shots will only trigger this ability once per attack.)",+X to Critical Hit chances every time the ship gets hit,"1.0, 1.0, 1.0, 1.0, 1.0","0.01, 0.02, 0.03, 0.04, 0.05",FALSE,FALSE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,CritChance,➖,CritChance,4235813457,2822661458,60,Epic,,,,1,1,1,1,1,0.01,0.02,0.03,0.04,0.05,,
139,JOACHIM,CM,KHAN'S CREW,AllDefenses,"TargetNotASB, EnemySentinel",CombatStart,SelfShip,Add,num_rounds=1,"When attacking a Station, Joachim has X chances of greatly increasing the mitigation of the ship for the first round of combat.",X chances to drastically increase the ship's mitigation against a Station for the first round.,"0.5, 0.1, 0.25","10000000.0, 0.0, 0.0",TRUE,TRUE,➖,EnemySentinel,✅,,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,TargetNotASB,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,AllDefenses,➖,AllDefenses,416954820,3264304828,61,Rare,,,,0.5,0.1,0.25,,,10000000,0,0,,,,
140,JOACHIM,OA,KHAN'S CREW,AllDamage,"TargetNotASB, EnemySentinel",CombatStart,EnemyAllShips,MultiplySub,,"When attacking a Station, Joachim decreases the Weapon Damage of all opponent's Ships and Defense Platforms by X",-X to all opponent's ships and defense platforms damage in Station Combat,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.15, 0.2, 0.25, 0.3",FALSE,TRUE,➖,EnemySentinel,✅,,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,TargetNotASB,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,AllDamage,➖,AllDamage,556660994,3264304828,61,Rare,,,,1,1,1,1,1,0.1,0.15,0.2,0.25,0.3,,
141,MARLA,CM,KHAN'S CREW,RepairTime,,ShipLaunched,SelfShip,MultiplyAdd,,Marla increases the Repair Speed of the ship by X.,+X to this ship's Repair Speed,"1.0, 1.0, 1.0","0.2, 0.05, 0.15",FALSE,TRUE,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,✅,,2905060077,1617168639,62,Rare,,,,1,1,1,,,0.2,0.05,0.15,,,,
142,MARLA,OA,KHAN'S CREW,OfficerStatAll,,ShipLaunched,SelfCaptain,MultiplyAdd,,"Marla increases the Attack, Defense and Health of the captain by X",+X to this ship's Captain stats,"1.0, 1.0, 1.0, 1.0, 1.0","0.5, 0.6, 0.7, 0.8, 0.9",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatAll,➖,OfficerStatAll,1434879169,1617168639,62,Rare,,,,1,1,1,1,1,0.5,0.6,0.7,0.8,0.9,,
143,JOAQUIN,CM,KHAN'S CREW,CargoProtection,,ShipLaunched,SelfShip,MultiplyAdd,,Joaquin increases the Protected Cargo of the ship by X,+X to this ship's Protected Cargo,"1.0, 1.0, 1.0","0.5, 0.15, 0.25",FALSE,TRUE,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,✅,,1585093811,3528103772,63,Uncommon,,,,1,1,1,,,0.5,0.15,0.25,,,,
144,JOAQUIN,OA,KHAN'S CREW,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[1600760006, 2166628666]",Joaquin increases the Mining Rate of the ship by  X when mining Corrupted Data and Decoded Data.,+X to Corrupted and Decoded Data Mining Speed,"1.0, 1.0, 1.0, 1.0, 1.0","0.4, 0.6, 0.8, 1.0, 1.25",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,1244413740,3528103772,63,Uncommon,,,,1,1,1,1,1,0.4,0.6,0.8,1,1.25,,
145,OTTO,CM,KHAN'S CREW,AllDamage,"EnemySentinel, TargetNotASB",RoundStart,SelfShip,MultiplyAdd,num_rounds=1,"At the start of each round, if the target of the ship is a Defense Platform, Otto increases the damage of the ship by X for that round.",+X damage to Defense Platforms,"1.0, 1.0, 1.0","0.2, 0.05, 0.1",FALSE,TRUE,➖,EnemySentinel,✅,,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,TargetNotASB,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,AllDamage,➖,AllDamage,935457644,2219055924,64,Uncommon,,,,1,1,1,,,0.2,0.05,0.1,,,,
146,OTTO,OA,KHAN'S CREW,OfficerStatAttack,,ShipLaunched,SelfBridge,MultiplyAdd,,Otto increases the Attack of each officer on the Bridge of the ship by X.,+X Attack to every Officer on the Bridge of the ship,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.3, 0.4, 0.5, 0.6",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatAttack,➖,OfficerStatAttack,2283189229,2219055924,64,Uncommon,,,,1,1,1,1,1,0.2,0.3,0.4,0.5,0.6,,
147,KATI,CM,KHAN'S CREW,CritChance,"EnemySentinel, TargetNotASB",RoundStart,SelfShip,Add,num_rounds=1,"At the start of each round, if the target of the ship is a Defense Platform, Kati increases the Chances of a Critical Hit by X for that round.",+X Critical Hit Chances against Defense Platforms,"1.0, 1.0, 1.0","0.04, 0.02, 0.03",FALSE,TRUE,➖,EnemySentinel,✅,,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,TargetNotASB,➖,EnemySentinel,➖,EnemySentinel,➖,EnemySentinel,➖,CritChance,➖,CritChance,3199621934,1602389738,65,Uncommon,,,,1,1,1,,,0.04,0.02,0.03,,,,
