,,,,,,,,,,,,,,,,,,,,
,,,   Rarity,OfficerName,,PvP Space,PvP Station,Red Moving Space,Waves,QTrial,Mission Bosses,Group Armadas,Solo Armadas,Invading Entities,Assaults,Outpost Armadas,Outpost Retaliation Attackers,Reason,Loot,Utility
,,,   U,EIGHT OF ELEVEN,CM,➖,➖,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Borg,➖,➖
,,,   U,EIGHT OF ELEVEN,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,NINE OF ELEVEN,CM,➖,➖,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Borg,➖,➖
,,,   U,NINE OF ELEVEN,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,TEN OF ELEVEN,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,TEN OF ELEVEN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,ORIGINS BURNHAM,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,ORIGINS BURNHAM,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,ORIGINS SARU,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,ORIGINS SARU,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,ORIGINS STAMETS,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,ORIGINS STAMETS,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,MICHAEL BURNHAM,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,MICHAEL BURNHAM,OA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,SARU,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,SARU,OA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,PAUL STAMETS,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,PAUL STAMETS,OA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,GEORGIOU,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,TargetHasBurning,➖,➖
,,,   E,GEORGIOU,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,TILLY,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   U,TILLY,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,TYLER,CM,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"docked on a node, on a Capture Node",➖,➖
,,,   R,TYLER,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,TargetHasBurning,➖,➖
,,,   U,CULBER,CM,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"docked on a node, on a Capture Node",➖,➖
,,,   U,CULBER,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,AIRIAM,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,AIRIAM,OA,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"docked on a node, on a Capture Node",➖,➖
,,,   R,EMP. GEORGIOU,CM,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,during Takeover,➖,➖
,,,   R,EMP. GEORGIOU,OA,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"docked on a node, on a Capture Node",➖,➖
,,,   R,CAP. TILLY,CM,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"CombatBattleType, CombatGameContext, TargetHasHullBreach",➖,➖
,,,   R,CAP. TILLY,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,TargetHasHullBreach,➖,➖
,,,   E,LORCA,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetHasHullBreach,➖,➖
,,,   E,LORCA,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,TOS KIRK,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfHasMorale, ModuleEnergy",➖,➖
,,,   E,TOS KIRK,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,HullHealthAbove,➖,➖
,,,   E,TOS SPOCK,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,TOS SPOCK,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfHasMorale,➖,➖
,,,   R,TOS UHURA,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfHasMorale,➖,➖
,,,   R,TOS UHURA,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfHasMorale,➖,➖
,,,   R,TOS MCCOY,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,TOS MCCOY,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfExplorer,➖,➖
,,,   R,TOS SULU,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,TOS SULU,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,"SelfExplorer, SelfHasMorale",➖,➖
,,,   R,TOS SCOTTY,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,TOS SCOTTY,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,TOS CHEKOV,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,TOS CHEKOV,OA,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,docked on a node,➖,➖
,,,   C,NEXT GEN DATA,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,NEXT GEN DATA,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,NEXT GEN TROI,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,NEXT GEN TROI,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,NEXT GEN CRUSHER,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,NEXT GEN CRUSHER,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,NEXT GEN LA FORGE,CM,✅,✅,✅,✅,✅,✅,➖,➖,➖,➖,✅,   ✅,,➖,➖
,,,   C,NEXT GEN LA FORGE,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,NEXT GEN RIKER,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,NEXT GEN RIKER,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,DATA,CM,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   E,DATA,OA,➖,➖,✅,✅,✅,✅,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,BEVERLY CRUSHER,CM,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,BEVERLY CRUSHER,OA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   E,GEORDI LA FORGE,CM,➖,➖,➖,➖,➖,➖,✅,✅,✅,➖,✅,   ➖,,✅,➖
,,,   E,GEORDI LA FORGE,OA,➖,➖,✴️,✴️,✴️,➖,✴️,✴️,➖,➖,➖,   ➖,Klingon,➖,➖
,,,   E,JEAN-LUC PICARD,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,target level 70 or under,➖,➖
,,,   E,JEAN-LUC PICARD,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,WESLEY CRUSHER,CM,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,WESLEY CRUSHER,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,WILLIAM T. RIKER,CM,➖,➖,➖,➖,➖,➖,✅,✅,➖,➖,➖,   ➖,,➖,➖
,,,   E,WILLIAM T. RIKER,OA,➖,➖,✴️,✴️,✴️,➖,✴️,✴️,➖,➖,➖,   ➖,Federation,➖,➖
,,,   E,DEANNA TROI,CM,➖,➖,➖,➖,➖,➖,✅,✅,➖,➖,➖,   ➖,,➖,➖
,,,   E,DEANNA TROI,OA,➖,➖,✴️,✴️,✴️,➖,✴️,✴️,➖,➖,➖,   ➖,Romulan,➖,➖
,,,   R,WORF,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,WORF,OA,➖,➖,✅,✅,✅,✅,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,TASHA YAR,CM,➖,➖,➖,➖,✅,✅,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,TASHA YAR,OA,➖,➖,✅,✅,✅,✅,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   E,ELEVEN OF ELEVEN,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,ELEVEN OF ELEVEN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,HONORGUARD WORF,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,HONORGUARD WORF,OA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,SELA,CM,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,SELA,OA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,TOMALAK,CM,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,TOMALAK,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Klingon,➖,➖
,,,   R,GOWRON,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,ModuleEnergy,➖,➖
,,,   R,GOWRON,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,MARTOK,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,ModuleKinetic,➖,➖
,,,   R,MARTOK,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,GHRUSH,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,GHRUSH,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,BA'EL,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,BA'EL,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,B'ETOR,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,B'ETOR,OA,➖,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,Amalgam,➖,➖
,,,   U,LURSA,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,LURSA,OA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,ARROCK,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,ARROCK,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,FESS,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,FESS,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,QUARK,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,QUARK,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,ROM,CM,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,ROM,OA,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,CATH,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,CATH,OA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,"TargetMaxLevel, ModuleKinetic",➖,➖
,,,   E,BECKETT MARINER,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,BECKETT MARINER,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,BRAD BOIMLER,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,BRAD BOIMLER,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,BADGEY,OA,✅,✅,✅,✅,✅,✅,➖,➖,➖,➖,✅,   ✅,,➖,➖
,,,   U,BADGEY,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,D'VANA TENDI,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,D'VANA TENDI,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,SAM RUTHERFORD,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,SAM RUTHERFORD,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,SNW PIKE,CM,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,SNW PIKE,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,SNW SPOCK,CM,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,SNW SPOCK,OA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,"SelfExplorer, EnemyInterceptor",➖,➖
,,,   R,SNW LA'AN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,SNW LA'AN,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,REGINALD BARCLAY,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,REGINALD BARCLAY,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,SNW UNA,CM,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,SNW UNA,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,SNW UHURA,CM,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,SNW UHURA,OA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,"SelfInterceptor, EnemyBattleship",➖,➖
,,,   R,SNW ORTEGAS,CM,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,SNW ORTEGAS,OA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,"SelfBattleship, EnemyExplorer",➖,➖
,,,   E,SNW HEMMER,OA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,EnemySurvey,➖,➖
,,,   E,SNW HEMMER,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,STRIKE TEAM LA'AN,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfBattleship, TargetHasBurning",➖,➖
,,,   E,STRIKE TEAM LA'AN,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfBattleship,➖,➖
,,,   R,STRIKE TEAM UNA,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,EnemyExplorer,➖,➖
,,,   R,STRIKE TEAM UNA,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfBattleship,➖,➖
,,,   R,STRIKE TEAM ORTEGAS,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,EnemyExplorer,➖,➖
,,,   R,STRIKE TEAM ORTEGAS,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfBattleship,➖,➖
,,,   E,MAVERY,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,MAVERY,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,GUL DUKAT,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfInterceptor,➖,➖
,,,   E,GUL DUKAT,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfInterceptor, TargetHasHullBreach",➖,➖
,,,   R,GARAK,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"ModuleKinetic, SelfInterceptor, TargetHasHullBreach",➖,➖
,,,   R,GARAK,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfInterceptor, TargetHasHullBreach",➖,➖
,,,   R,DAMAR,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfInterceptor, TargetHasHullBreach",➖,➖
,,,   R,DAMAR,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfInterceptor, TargetHasHullBreach",➖,➖
,,,   E,BENJAMIN SISKO,CM,➖,➖,➖,➖,➖,➖,✅,✅,➖,➖,➖,   ➖,,➖,➖
,,,   E,BENJAMIN SISKO,OA,➖,➖,➖,➖,➖,➖,✅,✅,➖,➖,➖,   ➖,,➖,➖
,,,   R,CHANGELING KIRA,CM,➖,➖,➖,➖,➖,➖,✴️,✴️,➖,➖,➖,   ➖,Cardassian,➖,➖
,,,   R,CHANGELING KIRA,OA,➖,➖,➖,➖,➖,➖,✅,✅,➖,➖,➖,   ➖,,➖,➖
,,,   R,MILES O'BRIEN,OA,➖,➖,➖,➖,➖,➖,✅,✅,➖,➖,➖,   ➖,,➖,➖
,,,   R,MILES O'BRIEN,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,WEYOUN,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfExplorer,➖,➖
,,,   E,WEYOUN,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfExplorer, SelfHasMorale",➖,➖
,,,   R,IKAT’IKA,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfExplorer,➖,➖
,,,   R,IKAT’IKA,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfExplorer, SelfHasMorale",➖,➖
,,,   R,PON,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfExplorer,➖,➖
,,,   R,PON,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfExplorer, SelfHasMorale",➖,➖
,,,   E,JADZIA DAX,CM,➖,➖,➖,➖,➖,➖,➖,✅,➖,➖,➖,   ➖,,➖,➖
,,,   E,JADZIA DAX,OA,➖,➖,➖,➖,➖,➖,➖,✅,➖,➖,➖,   ➖,,➖,➖
,,,   E,ODO,OA,➖,➖,➖,➖,➖,➖,➖,✅,➖,➖,➖,   ➖,,➖,➖
,,,   E,ODO,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,JULIAN BASHIR,CM,➖,➖,➖,➖,➖,➖,➖,✅,➖,➖,➖,   ➖,,➖,➖
,,,   R,JULIAN BASHIR,OA,➖,➖,➖,➖,➖,➖,➖,✅,➖,➖,➖,   ➖,,➖,➖
,,,   R,KIRA NERYS,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,✅,➖,   ➖,,➖,➖
,,,   R,KIRA NERYS,BDA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,HUGH,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,HUGH,BDA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,GHALENAR,OA,➖,➖,✴️,➖,➖,➖,✴️,✴️,➖,➖,➖,   ➖,FactionPointsGain,✅,➖
,,,   R,GHALENAR,BDA,➖,➖,✴️,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,ActianVenomAndNanoprobeLoot,✅,➖
,,,   E,BORG QUEEN,OA,➖,➖,➖,➖,➖,➖,➖,✴️,➖,➖,➖,   ➖,Borg,➖,➖
,,,   E,BORG QUEEN,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetHasAssimilated,➖,➖
,,,   R,DEZOC,OA,➖,➖,➖,➖,➖,➖,➖,✴️,➖,➖,➖,   ➖,Borg,➖,➖
,,,   R,DEZOC,BDA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,HullHealthBelow,➖,➖
,,,   R,GOSSA,OA,➖,➖,➖,➖,➖,➖,➖,✴️,➖,➖,➖,   ➖,Borg,➖,➖
,,,   R,GOSSA,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetHasAssimilated,➖,➖
,,,   E,PIC ADMIRAL PICARD,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,PIC ADMIRAL PICARD,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,EnemyExplorer,➖,➖
,,,   R,PIC BEVERLY CRUSHER,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,PIC BEVERLY CRUSHER,BDA,➖,➖,✴️,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,BrokenShipPartsLoot,✅,➖
,,,   E,PIC WORF,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,PIC WORF,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,EnemyInterceptor,➖,➖
,,,   E,PIC RIKER,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,PIC RIKER,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,EnemyBattleship,➖,➖
,,,   R,DIXON HILL,OA,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,on a Mining Node,➖,➖
,,,   R,DIXON HILL,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,THE DOCTOR,OA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   E,THE DOCTOR,BDA,➖,➖,✅,➖,➖,➖,✅,✅,✅,➖,✅,   ✅,,✅,➖
,,,   R,B'ELANNA TORRES,OA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,B'ELANNA TORRES,BDA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   E,KATHRYN JANEWAY,CM,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   E,KATHRYN JANEWAY,OA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,TOM PARIS,OA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,TOM PARIS,BDA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,HARRY KIM,OA,➖,➖,✴️,➖,➖,➖,✴️,✴️,➖,➖,➖,   ➖,FactionPointsGain,✅,➖
,,,   R,HARRY KIM,BDA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   E,CHAKOTAY,CM,➖,➖,➖,➖,➖,➖,✅,✅,➖,➖,➖,   ➖,,➖,➖
,,,   E,CHAKOTAY,OA,➖,➖,➖,➖,➖,➖,✅,✅,➖,➖,➖,   ➖,,➖,➖
,,,   R,TUVOK,OA,➖,➖,➖,➖,➖,➖,✴️,➖,➖,➖,➖,   ➖,ArtifactTokenLoot,✅,➖
,,,   R,TUVOK,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,SEVEN OF NINE,OA,➖,➖,➖,➖,➖,➖,✅,✅,➖,➖,➖,   ➖,,➖,➖
,,,   E,SEVEN OF NINE,BDA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,NEELIX,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,NEELIX,BDA,➖,➖,✴️,✴️,✴️,➖,✴️,✴️,✴️,➖,➖,   ➖,SelfOfficerTalNotOnBridge,➖,➖
